Id;CityId;Name;LastUpdate
1520;19;MECİTÖZÜ;2022-09-03 08:09:50.8091357
1521;35;MENEMEN;2022-09-03 08:11:25.8618043
1522;14;MENGEN;2022-09-03 08:09:16.3337054
1523;22;MERİÇ;2022-09-03 08:10:14.0836978
1524;5;MERZİFON;2022-09-03 08:10:50.5019103
1525;52;MESUDİYE;2022-09-03 08:12:42.4242500
1526;47;MİDYAT;2022-09-03 08:12:49.8254918
1527;26;MİHALIÇÇIK;2022-09-03 08:10:22.0225086
1528;48;MİLAS;2022-09-03 08:09:46.2643555
1529;40;MUCUR;2022-09-03 08:09:15.9131252
1530;16;MUDANYA;2022-09-03 08:13:10.0700681
1531;14;MUDURNU;2022-09-03 08:11:19.2223228
1533;65;MURADİYE;2022-09-03 08:12:44.2594474
1534;49;MERKEZ;2022-09-03 08:12:18.1004095
1535;16;MUSTAFAKEMALPAŞA;2022-09-03 08:10:04.1362945
1536;33;MUT;2022-09-03 08:11:17.5961429
1537;13;MUTKİ;2022-09-03 08:12:39.7783300
1538;59;MURATLI;2022-09-03 08:10:59.1229978
1539;6;NALLIHAN;2022-09-03 08:11:54.2056116
1540;25;NARMAN;2022-09-03 08:10:32.4004502
1541;62;NAZIMİYE;2022-09-03 08:11:13.2688552
1542;9;NAZİLLİ;2022-09-03 08:10:30.1656106
1543;50;MERKEZ;2022-09-03 08:12:50.3085329
1544;51;MERKEZ;2022-09-03 08:12:46.4475002
1545;60;NİKSAR;2022-09-03 08:09:25.6809121
1546;27;NİZİP;2022-09-03 08:11:59.8487277
1547;47;NUSAYBİN;2022-09-03 08:11:08.6432807
1548;61;OF;2022-09-03 08:13:15.0826931
1549;27;OĞUZELİ;2022-09-03 08:12:03.5666479
1550;25;OLTU;2022-09-03 08:11:58.3612038
1551;25;OLUR;2022-09-03 08:10:09.4593815
1553;16;ORHANELİ;2022-09-03 08:11:48.9286350
1554;16;ORHANGAZİ;2022-09-03 08:09:47.7728858
1555;18;ORTA;2022-09-03 08:10:35.5484901
1556;19;ORTAKÖY;2022-09-03 08:11:13.8594425
1557;68;ORTAKÖY;2022-09-03 08:09:58.0664475
1558;19;OSMANCIK;2022-09-03 08:09:31.1804846
1559;11;OSMANELİ;2022-09-03 08:10:03.4271745
1560;80;MERKEZ;2022-09-03 08:09:20.2246680
1561;78;OVACIK;2022-09-03 08:13:04.9612735
1562;62;OVACIK;2022-09-03 08:11:02.5607951
1563;35;ÖDEMİŞ;2022-09-03 08:09:41.7538248
1564;47;ÖMERLİ;2022-09-03 08:11:27.4528464
